sample,exposure,outcome,N,rsquared
COAST,A_v_log,lnpov_z,12968,0.30998497641987244
COAST,A_v_log,Wbasic_z,12968,0.30998497641987244
COAST,Ker5_w1,lnpov_z,12968,0.19163003021361902
COAST,Ker5_w1,Wbasic_z,12968,0.19163003021361902
COAST,Ker10_w1,lnpov_z,12968,0.2116180558006826
COAST,Ker10_w1,Wbasic_z,12968,0.2116180558006826
ALL,A_v_log,lnpov_z,84276,0.3718728664756492
ALL,A_v_log,Wbasic_z,84276,0.3718728664756492
ALL,Ker5_w1,lnpov_z,84276,0.21637669595366016
ALL,Ker5_w1,Wbasic_z,84276,0.21637669595366016
ALL,Ker10_w1,lnpov_z,84276,0.2321241665399607
ALL,Ker10_w1,Wbasic_z,84276,0.2321241665399607
