sample,outcome,exposure,model,metric,value
COAST,lnpov_z,A_v_log,baseline,moran_i,0.19888305763105593
COAST,lnpov_z,A_v_log,baseline,moran_p,0.001
COAST,Wbasic_z,A_v_log,baseline,moran_i,0.21433759575901626
COAST,Wbasic_z,A_v_log,baseline,moran_p,0.001
COAST,lnpov_z,Ker5_w1,baseline,moran_i,0.21790427272831311
COAST,lnpov_z,Ker5_w1,baseline,moran_p,0.001
COAST,Wbasic_z,Ker5_w1,baseline,moran_i,0.22769788247422254
COAST,Wbasic_z,Ker5_w1,baseline,moran_p,0.001
COAST,lnpov_z,Ker10_w1,baseline,moran_i,0.22100354285361262
COAST,lnpov_z,Ker10_w1,baseline,moran_p,0.001
COAST,Wbasic_z,Ker10_w1,baseline,moran_i,0.2353268957406382
COAST,Wbasic_z,Ker10_w1,baseline,moran_p,0.001
ALL,lnpov_z,A_v_log,baseline,moran_i,0.2172438746979169
ALL,lnpov_z,A_v_log,baseline,moran_p,0.001
ALL,Wbasic_z,A_v_log,baseline,moran_i,0.2680660334128078
ALL,Wbasic_z,A_v_log,baseline,moran_p,0.001
ALL,lnpov_z,Ker5_w1,baseline,moran_i,0.2319525501636279
ALL,lnpov_z,Ker5_w1,baseline,moran_p,0.001
ALL,Wbasic_z,Ker5_w1,baseline,moran_i,0.28026564147520017
ALL,Wbasic_z,Ker5_w1,baseline,moran_p,0.001
ALL,lnpov_z,Ker10_w1,baseline,moran_i,0.23149692431300625
ALL,lnpov_z,Ker10_w1,baseline,moran_p,0.001
ALL,Wbasic_z,Ker10_w1,baseline,moran_i,0.28110027787293607
ALL,Wbasic_z,Ker10_w1,baseline,moran_p,0.001
COAST,lnpov_z,A_v_log,SLX,moran_i,0.1804197215893869
COAST,lnpov_z,A_v_log,SLX,moran_p,0.001
COAST,Wbasic_z,A_v_log,SLX,moran_i,0.1964860085856953
COAST,Wbasic_z,A_v_log,SLX,moran_p,0.001
COAST,lnpov_z,Ker5_w1,SLX,moran_i,0.1834639396450692
COAST,lnpov_z,Ker5_w1,SLX,moran_p,0.001
COAST,Wbasic_z,Ker5_w1,SLX,moran_i,0.1970946690661158
COAST,Wbasic_z,Ker5_w1,SLX,moran_p,0.001
COAST,lnpov_z,Ker10_w1,SLX,moran_i,0.1818642771574894
COAST,lnpov_z,Ker10_w1,SLX,moran_p,0.001
COAST,Wbasic_z,Ker10_w1,SLX,moran_i,0.1972995151191385
COAST,Wbasic_z,Ker10_w1,SLX,moran_p,0.001
ALL,lnpov_z,A_v_log,SLX,moran_i,0.2106804116011341
ALL,lnpov_z,A_v_log,SLX,moran_p,0.001
ALL,Wbasic_z,A_v_log,SLX,moran_i,0.2648211852625156
ALL,Wbasic_z,A_v_log,SLX,moran_p,0.001
ALL,lnpov_z,Ker5_w1,SLX,moran_i,0.2120559449066285
ALL,lnpov_z,Ker5_w1,SLX,moran_p,0.001
ALL,Wbasic_z,Ker5_w1,SLX,moran_i,0.2659395238896871
ALL,Wbasic_z,Ker5_w1,SLX,moran_p,0.001
ALL,lnpov_z,Ker10_w1,SLX,moran_i,0.212032742702064
ALL,lnpov_z,Ker10_w1,SLX,moran_p,0.001
ALL,Wbasic_z,Ker10_w1,SLX,moran_i,0.2661625452115276
ALL,Wbasic_z,Ker10_w1,SLX,moran_p,0.001
