sample,outcome,exposure,target,moran_i,p_value,z_score
COAST,lnpov_z,—,y,0.5993050673361684,0.001,139.20571110043667
COAST,Wbasic_z,—,y,0.8380217527726542,0.001,201.6728538649494
ALL,lnpov_z,—,y,0.6557324709588501,0.001,396.39335451539387
ALL,Wbasic_z,—,y,0.8625218869666627,0.001,520.0214019210865
COAST,lnpov_z,A_v_log,uhat_baseline,0.19888305763105593,0.001,47.03883597242108
COAST,Wbasic_z,A_v_log,uhat_baseline,0.21433759575901626,0.001,51.571554037510964
COAST,lnpov_z,Ker5_w1,uhat_baseline,0.21790427272831311,0.001,51.305246753478094
COAST,Wbasic_z,Ker5_w1,uhat_baseline,0.22769788247422254,0.001,53.66632529112206
COAST,lnpov_z,Ker10_w1,uhat_baseline,0.22100354285361262,0.001,53.44785115463769
COAST,Wbasic_z,Ker10_w1,uhat_baseline,0.2353268957406382,0.001,56.30858145952492
ALL,lnpov_z,A_v_log,uhat_baseline,0.2172438746979169,0.001,132.52135821330543
ALL,Wbasic_z,A_v_log,uhat_baseline,0.2680660334128078,0.001,161.5359783796192
ALL,lnpov_z,Ker5_w1,uhat_baseline,0.2319525501636279,0.001,144.41118491641026
ALL,Wbasic_z,Ker5_w1,uhat_baseline,0.28026564147520017,0.001,169.95196677466066
ALL,lnpov_z,Ker10_w1,uhat_baseline,0.23149692431300625,0.001,141.21368435337035
ALL,Wbasic_z,Ker10_w1,uhat_baseline,0.28110027787293607,0.001,174.38260757616908
