sample,exposure,outcome,moran_i,p_value
COAST,A_v_log,lnpov_z,0.18041972158938696,0.001
COAST,A_v_log,Wbasic_z,0.1964860085856953,0.001
COAST,Ker5_w1,lnpov_z,0.18346393964506927,0.001
COAST,Ker5_w1,Wbasic_z,0.19709466906611586,0.001
COAST,Ker10_w1,lnpov_z,0.18186427715748943,0.001
COAST,Ker10_w1,Wbasic_z,0.19729951511913854,0.001
ALL,A_v_log,lnpov_z,0.21068041160113413,0.001
ALL,A_v_log,Wbasic_z,0.26482118526251563,0.001
ALL,Ker5_w1,lnpov_z,0.21205594490662852,0.001
ALL,Ker5_w1,Wbasic_z,0.2659395238896871,0.001
ALL,Ker10_w1,lnpov_z,0.21203274270206404,0.001
ALL,Ker10_w1,Wbasic_z,0.26616254521152766,0.001
